http_status,time_total
200,0.108827
200,0.040429
200,0.044630
200,0.129709
200,0.043049
200,0.045039
200,0.038173
200,0.040099
200,0.155224
200,0.042903
200,0.190786
200,0.075316
200,0.043209
200,0.042357
200,0.044817
200,0.069118
200,0.074757
200,0.039321
200,0.034319
200,0.078328
200,0.044784
200,0.054916
200,0.041986
200,0.045422
200,0.040410
200,0.038848
200,0.248399
200,0.040540
200,0.038408
200,0.144752
200,0.043563
200,0.044722
200,0.047382
200,0.040602
200,0.040350
200,0.038087
200,0.042169
200,0.130749
200,0.044335
200,0.039842
200,0.132902
200,0.035534
200,0.041219
200,0.051595
200,0.037508
200,0.027495
200,0.046158
200,0.039975
200,0.076474
200,0.038626
200,0.036902
200,0.116888
200,0.041099
200,0.044561
200,0.038570
200,0.042910
200,0.063770
200,0.041337
200,0.039291
200,0.145362
200,0.039363
200,0.040842
200,0.142469
200,0.038778
200,0.041488
200,0.034474
200,0.046469
200,0.087459
200,0.043906
200,0.044158
200,0.072736
200,0.042833
200,0.044577
200,0.048388
200,0.039995
200,0.091963
200,0.048175
200,0.037570
200,0.128171
200,0.043020
200,0.044567
200,0.147611
200,0.040024
200,0.088650
200,0.049617
200,0.048153
200,0.080798
200,0.043107
200,0.272393
200,0.084192
200,0.043351
200,0.039644
200,0.129887
200,0.043901
200,0.042577
200,0.037825
200,0.044877
200,0.030773
200,0.040322
200,0.040964
200,0.080340
200,0.085960
200,0.044502
200,0.143213
200,0.047089
200,0.047868
200,0.041877
200,0.037708
200,0.043401
200,0.048038
200,0.091297
200,0.042266
200,0.044759
200,0.047155
200,0.037478
200,0.048901
200,0.042505
200,0.045779
200,0.130087
200,0.367329
200,0.046561
200,0.143994
200,0.043095
200,0.047398
200,0.050729
200,0.043676
200,0.089693
200,0.047562
200,0.040117
200,0.049659
200,0.034206
200,0.088953
200,0.040781
200,0.032144
200,0.157172
200,0.034082
200,0.035545
200,0.075256
200,0.035740
200,0.057924
200,0.033668
200,0.034448
200,0.082032
200,0.037035
200,0.040178
200,0.131713
200,0.039758
200,0.034681
200,0.020943
200,0.038899
200,0.162515
200,0.037674
200,0.038157
200,0.074224
200,0.042024
200,0.036249
200,0.040220
200,0.035396
200,0.120445
200,0.036870
200,0.035407
200,0.141853
200,0.034816
200,0.039750
200,0.074378
200,0.044798
200,0.037945
200,0.036738
200,0.042988
200,0.089337
200,0.038897
200,0.037236
200,0.147644
200,0.036534
200,0.033575
200,0.076043
200,0.040566
200,0.044370
200,0.050141
200,0.037771
200,0.095433
200,0.043910
200,0.042246
200,0.081824
200,0.043431
200,0.043977
200,0.127181
200,0.036134
200,0.040720
200,0.034505
200,0.044682
200,0.065814
200,0.048318
200,0.042111
200,0.082560
200,0.037614
200,0.039648
200,0.070980
200,0.037891
200,0.045200
200,0.045869
200,0.034333
200,0.044912
200,0.044379
200,0.040081
200,0.083595
200,0.044334
200,0.043706
200,0.136347
200,0.040820
200,0.038108
200,0.042905
200,0.039184
200,0.073944
200,0.073354
200,0.039395
