timestamp,time_total
1788982389.850,0.677879
1788982391.564,0.682346
1788982393.270,0.694299
1788982394.995,0.697393
1788982396.717,0.690262
1788982398.435,0.688301
1788982400.156,0.653084
1788982401.836,0.835633
1788982403.696,0.654320
1788982405.381,0.687969
1788982407.089,0.651041
1788982408.761,0.679647
1788982410.478,0.896193
1788982412.408,0.729211
1788982414.172,0.740963
1788982415.949,0.719016
1788982417.699,0.744185
1788982419.476,0.734274
1788982421.240,0.719362
1788982422.987,0.787399
1788982424.796,0.715582
1788982426.536,0.745936
1788982428.311,0.766101
1788982430.115,0.927932
1788982432.065,0.738212
1788982433.834,0.796690
1788982435.660,0.938036
1788982437.635,0.727498
1788982439.401,0.736994
1788982441.163,1.028680
1788982443.223,0.701914
1788982444.963,0.674007
1788982446.666,0.675078
1788982448.371,0.676624
1788982450.070,0.641460
1788982451.736,0.774176
1788982453.629,0.661580
1788982455.323,0.652514
1788982457.006,0.672556
1788982458.709,0.668063
1788982460.410,0.824077
1788982462.254,0.718458
1788982464.003,0.701845
1788982465.735,0.708124
1788982467.465,0.705566
1788982469.195,0.693296
1788982470.914,0.687619
1788982472.628,0.709333
1788982474.366,1.070674
1788982476.463,0.750346
1788982478.249,0.724375
1788982480.000,0.753630
1788982481.781,0.755692
1788982483.566,0.689371
1788982485.289,0.684929
1788982487.002,0.686161
1788982488.718,0.685718
1788982490.435,0.681451
1788982492.148,0.641163
1788982493.811,1.226689
1788982496.071,0.723927
1788982497.825,0.638062
1788982499.496,0.938202
1788982501.464,0.667634
1788982503.153,0.664862
1788982504.838,0.670683
1788982506.531,0.677162
1788982508.229,0.687537
1788982509.942,1.106665
1788982512.067,0.645425
1788982513.732,0.649212
1788982515.406,0.770764
1788982517.195,0.671416
1788982518.892,0.685762
1788982520.608,0.650261
1788982522.290,0.663956
1788982523.978,0.677231
1788982525.678,0.726656
1788982527.435,0.661161
1788982529.127,0.636021
1788982530.789,0.754138
1788982532.658,0.649491
1788982534.327,0.642499
1788982535.990,0.675040
1788982537.690,0.715350
1788982539.470,0.683750
1788982541.184,0.633318
1788982542.841,0.669991
1788982544.531,0.641159
1788982546.195,0.645733
1788982547.874,0.667140
1788982549.568,0.661278
1788982551.250,0.645166
1788982552.915,0.676320
1788982554.615,0.678364
1788982556.316,0.643236
1788982557.984,0.655878
1788982559.673,0.676549
1788982561.370,0.675444
1788982563.069,0.648723
1788982564.739,0.653099
1788982566.409,0.671570
1788982568.103,0.652149
1788982569.780,1.029997
1788982571.882,0.654175
1788982573.564,0.682705
1788982575.275,0.671392
1788982576.970,0.664480
1788982578.662,0.664896
1788982580.354,0.688266
1788982582.063,0.784779
1788982583.868,0.630929
1788982585.522,0.655826
1788982587.208,0.886347
1788982589.129,0.618450
1788982590.778,0.651266
1788982592.456,0.626404
1788982594.110,0.664123
1788982595.793,0.718351
1788982597.537,0.664458
1788982599.230,0.655500
1788982600.911,0.672064
1788982602.605,0.637915
1788982604.278,0.668875
1788982605.969,0.677586
1788982607.667,0.670323
1788982609.359,0.665997
1788982611.044,0.685638
1788982612.770,0.663759
1788982614.463,0.668024
1788982616.153,0.685995
1788982617.858,0.865216
1788982619.741,0.675358
1788982621.443,0.654550
1788982623.131,0.685218
1788982624.841,0.663313
1788982626.532,0.669189
1788982628.234,0.659237
1788982629.921,0.645967
1788982631.594,0.664963
1788982633.286,0.686961
1788982634.993,0.648268
1788982636.674,0.655437
1788982638.352,0.672819
1788982640.049,0.728012
1788982641.796,0.669592
1788982643.498,0.650415
1788982645.178,0.673669
1788982646.887,0.660907
1788982648.579,0.675312
1788982650.275,0.653264
1788982651.946,0.635012
1788982653.603,1.095464
1788982655.718,0.667370
1788982657.416,0.638800
1788982659.084,0.647827
1788982660.756,0.634104
1788982662.409,0.663581
1788982664.096,0.637367
1788982665.763,0.647110
1788982667.442,1.155241
1788982669.643,0.659212
1788982671.329,0.677101
1788982673.031,0.648938
1788982674.708,0.686639
1788982676.418,0.682143
1788982678.135,0.686091
1788982679.851,0.672349
1788982681.547,0.652315
1788982683.223,0.662874
1788982684.918,0.668746
1788982686.612,0.741101
1788982688.469,0.622443
1788982690.114,0.620168
1788982691.759,0.623910
1788982693.406,0.619434
1788982695.044,0.628079
1788982696.693,0.612724
1788982698.333,0.719495
1788982700.067,0.626306
1788982701.716,0.649542
1788982703.388,0.644142
1788982705.059,0.630956
1788982706.729,0.620363
1788982708.373,0.772769
1788982710.162,0.643725
1788982711.842,0.638798
1788982713.518,0.660723
1788982715.208,0.630920
1788982716.868,0.634829
1788982718.528,0.800287
1788982720.348,0.622180
1788982721.999,0.647987
1788982723.673,0.651282
1788982725.356,0.645282
1788982727.035,0.697054
1788982728.753,0.635032
1788982730.417,0.640713
1788982732.086,0.628137
1788982733.734,0.654459
1788982735.409,0.630082
1788982737.069,0.725145
1788982738.818,0.661619
1788982740.504,0.677845
1788982742.208,0.673000
1788982743.908,0.626594
1788982745.563,0.657713
1788982747.251,0.669438
1788982748.942,0.624555
1788982750.589,0.668786
1788982752.279,0.632306
1788982753.940,0.640555
1788982755.604,0.636593
1788982757.258,0.630405
1788982758.911,0.630808
1788982760.569,0.645524
1788982762.242,0.665894
1788982763.936,0.688785
1788982765.652,0.626886
1788982767.301,0.630238
1788982768.966,0.638151
1788982770.634,0.637508
1788982772.297,0.660035
1788982773.985,0.632659
1788982775.641,0.635065
1788982777.309,0.664572
1788982779.002,0.623579
1788982780.656,0.655776
1788982782.336,0.644429
1788982784.002,0.631052
1788982785.663,0.651863
1788982787.343,0.724781
1788982789.095,0.900253
1788982791.017,0.407246
1788982792.443,0.393942
1788982793.856,0.000080
