timestamp,time_total
1789491405.057,0.453005
1789491406.534,0.558329
1789491408.123,0.449734
1789491409.606,0.555385
1789491411.192,0.496909
1789491412.713,0.459478
1789491414.213,0.435129
1789491415.683,0.672234
1789491417.393,0.534948
1789491418.969,0.413226
1789491420.416,0.518104
1789491421.960,0.468711
1789491423.459,0.580804
1789491425.077,0.448781
1789491426.555,0.457992
1789491428.042,0.476696
1789491429.537,0.441953
1789491431.022,0.665751
1789491432.714,0.571992
1789491434.322,0.390965
1789491435.737,0.417935
1789491437.189,0.452882
1789491438.666,0.501023
1789491440.193,0.488663
1789491441.716,0.436459
1789491443.178,0.489063
1789491444.693,0.463553
1789491446.184,0.701281
1789491447.922,0.493401
1789491449.437,0.472754
1789491450.945,0.539177
1789491452.517,0.485335
1789491454.018,0.532788
1789491455.588,0.440966
1789491457.062,0.470595
1789491458.551,0.492694
1789491460.080,0.437434
1789491461.552,0.451579
1789491463.029,0.492348
1789491464.559,0.680860
1789491466.271,0.506523
1789491467.800,0.558865
1789491469.402,0.489988
1789491470.911,0.454761
1789491472.397,0.508601
1789491473.946,0.415002
1789491475.393,0.566354
1789491476.986,0.473728
1789491478.491,0.434678
1789491479.954,0.457110
1789491481.452,0.408622
1789491482.884,0.627671
1789491484.556,0.505754
1789491486.095,0.426132
1789491487.558,0.405344
1789491489.001,0.439515
1789491490.473,0.463883
1789491491.963,0.440517
1789491493.423,0.447420
1789491494.906,0.557072
1789491496.495,0.428411
1789491497.956,0.469471
1789491499.453,0.462762
1789491500.941,0.442353
1789491502.420,0.669925
1789491504.122,0.505396
1789491505.649,0.657590
1789491507.347,0.487812
1789491508.881,0.453750
1789491510.372,0.405460
1789491511.806,0.555160
1789491513.406,0.500530
1789491514.925,0.458930
1789491516.424,0.660905
1789491518.105,0.508331
1789491519.649,0.535634
1789491521.222,0.505366
1789491522.772,0.528056
1789491524.330,0.543831
1789491525.898,0.507518
1789491527.432,0.540829
1789491528.997,0.531312
1789491530.560,0.548673
1789491532.129,0.689039
1789491533.854,0.538064
1789491535.421,0.528019
1789491536.978,0.529403
1789491538.533,0.539770
1789491540.092,0.526459
1789491541.659,0.535760
1789491543.225,0.508481
1789491544.764,0.525896
1789491546.323,0.530554
1789491547.884,0.534482
1789491549.443,0.447643
1789491550.909,0.538053
1789491552.475,0.530599
1789491554.027,0.528592
1789491555.580,0.495224
1789491557.099,0.677141
1789491558.805,0.531991
1789491560.379,0.525505
1789491561.935,0.511704
1789491563.478,0.651348
1789491565.160,0.600739
1789491566.793,0.525914
1789491568.339,0.538037
1789491569.913,0.521249
1789491571.453,0.744689
1789491573.230,0.536879
1789491574.807,0.529429
1789491576.368,0.531223
1789491577.923,0.524215
1789491579.472,0.535988
1789491581.031,0.521645
1789491582.578,0.714522
1789491584.323,0.531715
1789491585.882,0.534316
1789491587.439,0.548180
1789491589.019,0.531571
1789491590.576,0.550069
1789491592.155,0.533805
1789491593.718,0.530642
1789491595.285,0.538804
1789491596.850,0.519686
1789491598.409,0.540745
1789491599.972,0.526551
1789491601.522,0.442882
1789491602.997,0.531991
1789491604.562,0.534835
1789491606.145,0.668703
1789491607.850,0.510551
1789491609.405,0.636241
1789491611.078,0.520883
1789491612.644,0.725851
1789491614.398,0.538897
1789491615.967,0.634570
1789491617.643,0.535846
1789491619.207,0.609173
1789491620.851,0.535648
1789491622.405,0.530584
1789491623.964,0.535628
1789491625.535,0.542449
1789491627.106,0.545717
1789491628.676,0.530885
1789491630.237,0.502649
1789491631.767,0.565367
1789491633.353,0.534458
1789491634.915,0.541349
1789491636.490,0.498924
1789491638.021,0.533084
1789491639.585,0.539799
1789491641.160,0.481301
1789491642.669,0.528957
1789491644.227,0.528924
1789491645.788,0.539182
1789491647.351,0.512793
1789491648.879,0.533214
1789491650.451,0.526522
1789491652.003,0.507505
1789491653.527,0.538262
1789491655.101,0.473803
1789491656.590,0.541391
1789491658.160,0.531600
1789491659.717,0.485815
1789491661.237,0.543982
1789491662.817,0.530373
1789491664.389,0.539187
1789491665.964,0.534187
1789491667.526,0.545943
1789491669.097,0.529477
1789491670.657,0.376490
1789491672.065,0.379535
1789491673.466,0.389101
1789491674.887,0.380626
1789491676.300,0.404460
1789491677.732,0.628495
1789491679.397,0.475574
1789491680.905,0.445732
1789491682.379,0.456174
1789491683.870,0.441005
1789491685.341,0.447758
1789491686.816,0.449984
1789491688.294,0.516068
1789491689.833,0.441606
1789491691.301,0.440942
1789491692.778,0.439778
1789491694.256,0.449951
1789491695.739,0.441261
1789491697.208,0.447014
1789491698.684,0.546712
1789491700.255,0.454220
1789491701.741,0.447758
1789491703.219,0.446673
1789491704.701,0.455401
1789491706.185,0.447990
1789491707.665,0.452079
1789491709.145,0.495398
1789491710.669,0.452507
1789491712.157,0.437115
1789491713.622,0.437892
1789491715.089,0.446208
1789491716.564,0.447736
1789491718.036,0.450918
1789491719.512,0.465310
1789491721.002,0.456072
1789491722.491,0.463200
1789491723.980,0.434218
1789491725.442,0.450186
1789491726.922,0.456311
1789491728.402,0.451827
1789491729.884,0.447810
1789491731.363,0.439580
1789491732.831,0.445738
1789491734.306,0.440417
1789491735.773,0.444326
1789491737.246,0.455207
1789491738.734,0.448139
1789491740.211,0.443129
1789491741.682,0.445514
1789491743.161,0.448308
1789491744.643,0.435122
1789491746.100,0.454138
1789491747.578,0.446826
1789491749.050,0.446818
1789491750.534,0.440649
1789491752.004,0.447585
1789491753.481,0.446428
1789491754.955,0.456247
1789491756.440,0.454108
1789491757.924,0.441144
1789491759.397,0.449291
1789491760.871,0.448269
1789491762.350,0.456060
1789491763.843,0.451268
1789491765.326,0.449030
1789491766.803,0.449770
1789491768.286,0.443498
1789491769.758,0.449664
1789491771.240,0.443519
1789491772.710,0.447788
1789491774.194,0.452687
1789491775.673,0.442488
1789491777.148,0.445435
1789491778.620,0.448708
1789491780.094,0.455092
1789491781.581,0.448461
1789491783.059,0.448379
1789491784.539,0.455038
1789491786.022,0.447580
1789491787.497,0.448636
1789491788.976,0.571233
1789491790.587,0.448417
1789491792.064,0.137660
1789491793.218,0.156871
1789491794.394,0.161602
